name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_measurement_type,radius_measurement_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
109 Psc b,Confirmed,5.743,0.289,1.011,6.383,0.078,0.078,1.152,,,1075.4,0.7,0.8,2.051,0.087,0.079,0.104,0.008,0.009,86.116,20.53,19.957,0.066339,2000,2024-06-14,112.816,5.448,5.254,2451492.0,17.0,17.0,,,,,,,,,,,,,,,,,,,114.583,1.196,1.067,,,,,,,,,,Published in a refereed paper,"Radial Velocity, Astrometry",Radial Velocity,Theoretical,HD 10697 b,,109 Psc,26.2326,20.08315,6.29,,,,,32.56,0.88,0.88,0.1,0.06,0.06,1.13,0.03,0.03,1.79,0.17,0.17,G5 IV,6.9,0.6,0.6,5600.0,80.0,80.0,,,HD 10697
112 Psc b,Confirmed,,0.005,0.004,0.033,0.005,0.004,,,,4.4,0.0004,0.0002,0.054,0.002,0.002,0.376,0.254,0.11,,,,,2022,2024-06-14,279.492,67.524,30.206,,,,,,,,,,,,,,,,,,,,,,4.157,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,HD 12235 b,,112 Psc,30.03816479792542,3.0970140111241666,5.88,,5.204,4.63,4.494,31.7627,0.10695,0.10695,0.31,0.1,0.1,1.1,0.133,0.133,1.801,0.0725,0.0725,G0IV,,,,5986.0,105.437,105.437,,,HD 12235
112 Psc c,Confirmed,9.866,1.781,3.19,,,,,,,36336.7,6039.4,9726.0,22.21,2.766,3.866,0.174,0.154,0.11,47.738,11.804,12.651,,2022,2024-06-14,79.772,31.067,15.493,,,,,,,,,,,,,,,,,,,,,,42.503,0.586,1.868,,,,,,,,,,Published in a refereed paper,"Radial Velocity, Astrometry",Astrometry,,HD 12235 c,,112 Psc,30.03816479792542,3.0970140111241666,5.88,,5.204,4.63,4.494,31.7627,0.10695,0.10695,0.31,0.1,0.1,1.1,0.133,0.133,1.801,0.0725,0.0725,G0IV,,,,5986.0,105.437,105.437,,,HD 12235
11 UMi b,Confirmed,,1.1,1.1,11.0873,1.1,1.1,,,,516.22,3.25,3.25,1.54,0.07,0.07,0.08,0.03,0.03,,,,0.012887,2009,2023-03-03,117.63,21.06,21.06,2452861.05,2.06,2.06,,,,,,,,,,,,,,,,,,,189.7,7.15,7.15,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,11 UMi,229.275,71.8238889,5.02,,,,,119.5,6.9,6.9,0.04,0.04,0.04,1.8,0.25,0.25,24.08,1.84,1.84,K4III,1.56,0.54,0.54,4340.0,70.0,70.0,,,
14 And Ab,Confirmed,,0.23,0.23,4.684,0.23,0.23,,,,185.84,0.23,0.23,0.83,,,0.0,,,,,,0.010864,2008,2024-07-30,,,,2452861.4,1.5,1.5,,,,,,,,,,,,,,,,,,,100.0,1.3,1.3,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,14 And A,352.8208333,39.2361111,5.22,4.1,3.02,2.61,2.33,76.4,4.1,4.1,-0.24,,,2.2,0.2,0.2,11.0,1.0,1.0,K0III,,,,4813.0,20.0,20.0,,,
14 Her b,Confirmed,8.5,0.8,1.0,4.95,,,,,,1767.56,0.22,0.22,2.82,0.04,0.04,0.372,0.003,0.003,35.7,3.2,3.2,0.153039,2002,2024-10-15,22.3,0.4,0.4,2451368.0,5.0,5.0,,,,,,,,,,,,,,,,,,,90.38,0.15,0.15,,,,,,,,,,Published in a refereed paper,Radial Velocity,Astrometry,,,,14 Her,242.5958333,43.8216667,6.67,,,,,18.1,,,0.43,0.08,0.08,0.9,,,0.708,0.085,0.085,K0 V,5.1,,,5311.0,87.0,87.0,,,
14 Her c,Confirmed,7.1,0.6,1.0,7.12,,,,,,52160.0,1028.0,1028.0,27.0,7.9,16.0,0.65,0.6,0.6,82.0,14.0,14.0,0.381215,2006,2024-10-15,0.01,1.0,1.0,2451779.0,33.0,33.0,,,,,,,,,,,,,,,,,,,50.8,0.4,0.4,,,,,,,,,,Submitted to a professional journal,Radial Velocity,Astrometry,,HD 145675 c,,14 Her,242.5958333,43.8216667,6.67,,,,,18.1,,,0.43,0.08,0.08,0.9,,,0.708,0.085,0.085,K0 V,5.1,,,5311.0,87.0,87.0,,,
16 Cyg Bb,Confirmed,,0.08,0.08,1.64,0.08,0.08,,,,799.5,0.6,0.6,1.68,0.03,0.03,0.689,0.011,0.011,,,,0.078468,1996,2024-07-28,83.4,2.1,2.1,2450539.3,1.6,1.6,,,,,,,,,,,,,,,,,,,50.5,1.6,1.6,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,16 Cyg B,295.4625,50.5175,6.2,,,,,21.41,0.24,0.24,0.08,0.04,0.04,1.01,0.04,0.04,0.98,0.13,0.13,G2.5 V,8.0,1.8,1.8,5766.0,60.0,60.0,,,"HD 186427, GJ 765.1 B"
18 Del Ab,Confirmed,,0.36,0.36,10.3,0.36,0.36,,,,993.3,3.2,3.2,2.6,,,0.08,0.01,0.01,,,,0.035568,2008,2024-08-02,166.1,6.5,6.5,2451672.0,18.0,18.0,,,,,,,,,,,,,,,,,,,119.4,1.3,1.3,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,18 Del A,314.6083333,10.8391667,5.52,,4.03,3.44,3.67,73.1,3.5,3.5,-0.052,0.023,0.023,2.3,,,8.5,,,G6III,,,,4979.0,18.0,18.0,,,HD 199665
Kepler-99 Bb,Confirmed,0.0119971,0.0018,0.0018,0.0119955,0.0018,0.0018,0.16166,0.01204,0.01204,4.60358,,,0.05069,,,0.0,,,89.05,,,,2014,2024-08-04,,,,,,,2455004.83893,,,,,,,,,,,,0.246,0.246,0.189,,,,1.67,0.9,0.9,810.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"WISE J194924.96+411800.2 b, Kepler-99 b, KOI-305 b, KOI-305.01, K00305.01, KIC 6063220 b, 2MASS J19492496+4118001 b",,Kepler-99 B,297.354004,41.300049,13.2,,11.368,10.852,10.8,208.369,1.031,1.042,0.21,0.1,0.1,0.769,0.0534,0.129,0.745,0.05,0.0492,K3V,4.27,2.28,3.0,4774.0,112.567,101.468,,,"Kepler-99, KOI-305, WISE J194924.96+411800.2, 2MASS J19492496+4118001, KIC 6063220"
